IFDM - Índice Firjan de Desenvolvimento Municipal (NOVO)
Sigla;Código;Município;2019;2020;2021;2022;2023;
BA;2906857;Capela do Alto Alegre;0,3683;0,383;0,4238;0,4824;0,4659;
BA;2906873;Capim Grosso;0,4416;0,4321;0,466;0,5177;0,558;
BA;2906899;Caraíbas;0,3423;0,4474;0,4367;0,4715;0,5339;
BA;2906907;Caravelas;0,4339;0,4361;0,4552;0,5036;0,4752;
BA;2907004;Cardeal da Silva;0,3276;0,3635;0,3576;0,4531;0,466;
BA;2907103;Carinhanha;0,3624;0,3476;0,3077;0,3661;0,4167;
BA;2907202;Casa Nova;0,3456;0,3734;0,3686;0,3991;0,4258;
BA;2907301;Castro Alves;0,4261;0,4741;0,4287;0,5184;0,5326;
BA;2907400;Catolândia;0,3924;0,5011;0,4869;0,4768;0,4417;
BA;2907509;Catu;0,5057;0,4933;0,5011;0,5711;0,617;
BA;2907558;Caturama;0,3947;0,4183;0,3758;0,4292;0,5292;
BA;2907608;Central;0,2901;0,3059;0,3216;0,3824;0,4598;
BA;2907707;Chorrochó;0,353;0,4043;0,4089;0,4139;0,4696;
BA;2907806;Cícero Dantas;0,3578;0,3975;0,4177;0,4769;0,5425;
BA;2907905;Cipó;0,367;0,3691;0,3228;0,3765;0,4464;
BA;2908002;Coaraci;0,3938;0,4257;0,4044;0,4685;0,4724;
BA;2908101;Cocos;0,3593;0,3823;0,4279;0,464;0,509;
BA;2908200;Conceição da Feira;0,4405;0,41;0,4445;0,4666;0,5536;
BA;2908309;Conceição do Almeida;0,4076;0,443;0,417;0,4421;0,485;
BA;2908408;Conceição do Coité;0,3651;0,3894;0,3937;0,4537;0,4861;
BA;2908507;Conceição do Jacuípe;0,4952;0,4869;0,4938;0,5519;0,638;
BA;2908606;Conde;0,3927;0,391;0,3471;0,4127;0,4435;
BA;2908705;Condeúba;0,4772;0,4899;0,433;0,4987;0,5414;
BA;2908804;Contendas do Sincorá;0,4128;0,4391;0,4589;0,4723;0,4302;
BA;2908903;Coração de Maria;0,3832;0,4148;0,3987;0,4271;0,4738;
BA;2909000;Cordeiros;0,5221;0,5422;0,5124;0,5595;0,5348;
BA;2909109;Coribe;0,4303;0,4151;0,3613;0,4302;0,4423;
BA;2909208;Coronel João Sá;0,39;0,3831;0,3764;0,4469;0,4975;
BA;2909307;Correntina;0,4189;0,4625;0,4923;0,5186;0,5545;
BA;2909406;Cotegipe;0,3435;0,3623;0,4184;0,4242;0,4274;
BA;2909505;Cravolândia;0,3198;0,3237;0,358;0,3419;0,4202;
BA;2909604;Crisópolis;0,3587;0,3981;0,4072;0,4296;0,4959;
BA;2909703;Cristópolis;0,3261;0,3503;0,3311;0,4285;0,4696;
BA;2909802;Cruz das Almas;0,5458;0,5421;0,4883;0,5591;0,5964;
BA;2909901;Curaçá;0,402;0,4006;0,3959;0,4277;0,4553;
BA;2910008;Dário Meira;0,3923;0,4125;0,4129;0,4574;0,5233;
BA;2910057;Dias d'Ávila;0,5071;0,5243;0,5243;0,5572;0,5901;
BA;2910107;Dom Basílio;0,4375;0,4671;0,4722;0,5076;0,5689;
BA;2910206;Dom Macedo Costa;0,4247;0,3983;0,4658;0,505;0,5263;
BA;2910305;Elísio Medrado;0,4658;0,4364;0,4534;0,5023;0,4917;
BA;2910404;Encruzilhada;0,3391;0,3985;0,3363;0,4167;0,4631;
BA;2910503;Entre Rios;0,4001;0,3832;0,3582;0,4159;0,4949;
BA;2910602;Esplanada;0,3527;0,357;0,3789;0,4066;0,4433;
BA;2910701;Euclides da Cunha;0,3902;0,4109;0,3824;0,4412;0,4954;
BA;2910727;Eunápolis;0,5057;0,5091;0,4912;0,5303;0,5774;
BA;2910750;Fátima;0,4106;0,4378;0,3865;0,4811;0,4632;
BA;2910776;Feira da Mata;0,469;0,4835;0,4446;0,5176;0,4664;
BA;2910800;Feira de Santana;0,4934;0,4688;0,4721;0,5146;0,5696;
BA;2910859;Filadélfia;0,3991;0,3869;0,404;0,4504;0,4619;
BA;2910909;Firmino Alves;0,4166;0,4521;0,4056;0,4546;0,558;
BA;2911006;Floresta Azul;0,3496;0,3818;0,4069;0,4536;0,5193;
BA;2911105;Formosa do Rio Preto;0,3919;0,4136;0,4185;0,4753;0,5494;
BA;2911204;Gandu;0,3483;0,3829;0,4015;0,438;0,5013;
BA;2911253;Gavião;0,4505;0,4149;0,397;0,4848;0,4825;
BA;2911303;Gentio do Ouro;0,3759;0,3768;0,4131;0,4544;0,5728;
BA;2911402;Glória;0,3156;0,3411;0,3587;0,3766;0,4473;
BA;2911501;Gongogi;0,3472;0,3659;0,4098;0,4927;0,5012;
BA;2911600;Governador Mangabeira;0,5026;0,5202;0,5276;0,5006;0,5933;
